hQTL Vg_hQTL epQTL_1 epQTL_2 epQTL_3 epQTL_4 epQTL_5 epQTL_6 epQTL_7 epQTL_8 epQTL_9 epQTL_10 epQTL_11 epQTL_12 epQTL_13 epQTL_14 epQTL_15 epQTL_16 epQTL_17 epQTL_18 epQTL_19 epQTL_20
Sim_61 Chr2B_576980485 0.0506501187432031 Chr1D_496161107 Chr6A_329564139 Chr5D_267913558 Chr6B_477810854 Chr7D_542963778 Chr1A_525383934 Chr6D_432128665 Chr5B_26323927 Chr1B_555452160 Chr3B_269009826 Chr7A_702271864 Chr2D_299788591 Chr3A_223937348 Chr7B_711010962 Chr4A_220281230 Chr4B_5044401 Chr4D_51145714 Chr2A_33930020 Chr3D_271756416 Chr5A_306973325
Sim_62 Chr3B_127172873 0.0455651945047145 Chr3D_545042911 Chr2B_759603216 Chr5B_705246886 Chr4B_157050235 Chr6A_612305722 Chr1A_303921807 Chr2A_257976301 Chr7D_242620113 Chr6D_93279747 Chr1B_675579813 Chr5D_568529738 Chr4D_29201896 Chr7B_24563364 Chr2D_175907318 Chr6B_81121634 Chr3A_274713605 Chr1D_10957009 Chr5A_478339433 Chr7A_608663115 Chr4A_605550430
Sim_63 Chr7A_693069066 0.0535467666948233 Chr6B_361609028 Chr4D_109503045 Chr5B_332325984 Chr6D_376699463 Chr2B_565669193 Chr7B_444721352 Chr5D_175783435 Chr2A_86629308 Chr3B_492279495 Chr3D_522165750 Chr2D_128347687 Chr1A_463314805 Chr1D_41312228 Chr3A_95152818 Chr7D_263902248 Chr5A_536058390 Chr4B_226738672 Chr4A_510868885 Chr6A_55608378 Chr1B_244795635
Sim_64 Chr4B_617186722 0.0509031145344274 Chr7D_479681975 Chr2A_623985035 Chr3A_1031199 Chr3B_810713637 Chr5A_85321295 Chr6A_612305722 Chr4D_367699031 Chr1D_49435925 Chr3D_82279664 Chr5D_540617469 Chr6D_183773154 Chr1B_138549014 Chr5B_320747923 Chr1A_454767212 Chr7B_687396532 Chr6B_52241700 Chr2B_565669193 Chr2D_257488085 Chr7A_715407087 Chr4A_719720243
Sim_65 Chr1B_149442616 0.0479263088279494 Chr4D_52181987 Chr5A_667734071 Chr6B_654997680 Chr7B_739853300 Chr7A_39139528 Chr3B_293512074 Chr1D_126146893 Chr5D_37155848 Chr1A_51341854 Chr3A_636805941 Chr6D_2279771 Chr6A_536105942 Chr2D_302134460 Chr2A_699049096 Chr4B_223568687 Chr7D_428158425 Chr3D_580221298 Chr4A_570571097 Chr2B_762094902 Chr5B_341856118
Sim_66 Chr7A_6891641 0.0455026930929555 Chr6B_632980931 Chr3B_676520563 Chr4D_242846239 Chr7D_491203358 Chr2A_491288388 Chr5D_542571830 Chr7B_463674663 Chr3A_546215079 Chr2D_511534375 Chr4B_607110201 Chr2B_419876407 Chr1A_20315690 Chr6D_320429069 Chr3D_449911933 Chr5B_150174038 Chr1D_454437991 Chr4A_357985678 Chr6A_612763513 Chr1B_310259400 Chr5A_286798139
Sim_67 Chr1B_235606905 0.0508866101904865 Chr4A_703488916 Chr7D_185927008 Chr3B_329559220 Chr4D_315366694 Chr6D_309082572 Chr2B_606903083 Chr6B_58829197 Chr1A_502972223 Chr6A_23811272 Chr3A_611575241 Chr7A_689224397 Chr5A_112147362 Chr5B_498611584 Chr1D_167422788 Chr7B_732427887 Chr4B_292546612 Chr3D_522165750 Chr2D_622411082 Chr2A_290115551 Chr5D_250108031
Sim_68 Chr3D_368576794 0.0518677135754563 Chr4B_193547559 Chr5D_319067284 Chr1B_653243881 Chr6D_279888830 Chr1D_16964814 Chr3B_797391819 Chr6B_537082458 Chr1A_479918536 Chr3A_730164438 Chr6A_17582658 Chr2D_23798471 Chr7D_478562296 Chr7B_439941353 Chr2A_778760550 Chr5B_581373328 Chr4D_282317278 Chr7A_203635868 Chr5A_548283091 Chr2B_188425323 Chr4A_728441590
Sim_69 Chr4B_82876339 0.0488970574971237 Chr2A_378246289 Chr5A_413983153 Chr3D_130244731 Chr6B_669547650 Chr1A_478654997 Chr7D_491203358 Chr1D_476466962 Chr4A_662772736 Chr1B_432323418 Chr3B_601638368 Chr6D_350284075 Chr5D_267913558 Chr2B_562472451 Chr7A_636405296 Chr6A_128835213 Chr4D_41766564 Chr2D_35047168 Chr7B_8010117 Chr3A_660757996 Chr5B_415368462
Sim_70 Chr6B_33795346 0.0479204190028308 Chr3A_687327053 Chr5A_235722134 Chr6D_60955304 Chr5B_102081817 Chr7A_467444420 Chr1A_377224643 Chr3B_215407263 Chr1B_104359669 Chr3D_245675958 Chr2A_378564441 Chr4A_736425635 Chr6A_612831289 Chr4D_37031251 Chr7B_542323122 Chr5D_411763758 Chr1D_16964814 Chr2D_632624347 Chr2B_637179855 Chr4B_1762038 Chr7D_49635077
Sim_71 Chr3B_329380656 0.0492084621114476 Chr2A_237981908 Chr2D_532422881 Chr4A_742320152 Chr1B_343116886 Chr7A_685167736 Chr1D_450121910 Chr5B_111886186 Chr4B_231560329 Chr6D_435821667 Chr5D_477466577 Chr7B_735049913 Chr1A_511121553 Chr6B_98397284 Chr6A_19480494 Chr3A_741045862 Chr3D_227774035 Chr4D_35353950 Chr2B_439322104 Chr7D_447539404 Chr5A_26741372
Sim_72 Chr1B_90540486 0.048274805593534 Chr6B_244344551 Chr4D_179852800 Chr2A_735714110 Chr5D_90307644 Chr1A_594069787 Chr3D_368576794 Chr4A_303747328 Chr3A_562342084 Chr4B_645371272 Chr2B_23653373 Chr7A_617558015 Chr2D_162909764 Chr7D_459821432 Chr5A_644576948 Chr6A_287140967 Chr1D_489917551 Chr7B_467113805 Chr5B_289039760 Chr6D_484914394 Chr3B_508346992
Sim_73 Chr7A_349630804 0.0491473024123258 Chr3A_321201415 Chr5B_624778145 Chr1A_17326314 Chr4D_1277061 Chr7D_317580271 Chr5A_253213588 Chr1B_243411788 Chr2A_486953984 Chr3D_1001550 Chr4B_582545439 Chr1D_488470793 Chr6B_276520948 Chr4A_283767890 Chr3B_285906577 Chr7B_726230946 Chr2D_127249957 Chr5D_463695230 Chr6D_342812657 Chr6A_46706324 Chr2B_582474213
Sim_74 Chr1B_576488134 0.0486226649246229 Chr2B_39981116 Chr1A_34024207 Chr7A_23127993 Chr7B_522091632 Chr3D_21485625 Chr2A_39265468 Chr3A_539854920 Chr6A_26405336 Chr6D_303993356 Chr7D_319447934 Chr4B_407462515 Chr4A_402715349 Chr5D_554092580 Chr4D_407863386 Chr5B_243257429 Chr5A_639304087 Chr2D_284049439 Chr6B_296974272 Chr1D_489729899 Chr3B_676520563
Sim_75 Chr7D_232510420 0.0463584828759401 Chr6B_477104779 Chr2A_275208232 Chr1B_696605007 Chr7B_712660488 Chr3D_468042902 Chr6A_548880699 Chr2B_779856110 Chr4B_331768784 Chr7A_86006347 Chr1A_476367900 Chr5D_454296786 Chr5B_46490199 Chr3A_581581123 Chr4A_636115629 Chr5A_699689498 Chr3B_732205594 Chr2D_371259498 Chr6D_145745214 Chr4D_187452132 Chr1D_330113103
Sim_76 Chr3A_731160706 0.0512403181448505 Chr2D_172661059 Chr1A_591878780 Chr2A_737790689 Chr5A_471690670 Chr1D_488470793 Chr3D_76868216 Chr7D_40199754 Chr2B_720540449 Chr4A_560588546 Chr5B_46490199 Chr6A_548644895 Chr6B_564059366 Chr4D_460297362 Chr7B_693469295 Chr4B_216225418 Chr7A_477999370 Chr1B_682296676 Chr5D_136248728 Chr3B_294513408 Chr6D_473120178
Sim_77 Chr6A_605995129 0.0538353503219361 Chr7D_544581732 Chr1B_262852945 Chr5D_319067284 Chr6B_23141822 Chr7B_693864428 Chr4A_666353036 Chr3B_3483426 Chr3A_369686061 Chr1A_404800139 Chr2D_302134460 Chr2B_418016 Chr1D_450121910 Chr4B_29629517 Chr6D_50097901 Chr2A_776475005 Chr5A_562640097 Chr4D_407863386 Chr3D_449911933 Chr7A_586745122 Chr5B_438255433
Sim_78 Chr2A_781600062 0.0471645589163757 Chr3B_513991527 Chr3D_296395200 Chr1D_76892354 Chr7A_363913884 Chr7D_389903174 Chr1A_16003231 Chr6D_34010229 Chr5D_366089111 Chr6B_231583060 Chr5B_320747923 Chr5A_566637842 Chr4B_489099977 Chr3A_651719662 Chr4A_699507779 Chr2D_367583175 Chr4D_37031251 Chr6A_481777238 Chr7B_8010117 Chr1B_647469198 Chr2B_782246423
Sim_79 Chr1B_98352045 0.0489509023659202 Chr3B_255925260 Chr7D_459821432 Chr2B_358156682 Chr6B_78570559 Chr7B_742073535 Chr1D_354554801 Chr5A_688989843 Chr6D_303993356 Chr4A_308142280 Chr3A_437944528 Chr3D_490047421 Chr2D_286380203 Chr4B_285456056 Chr5B_30595992 Chr4D_196470057 Chr1A_407751882 Chr2A_98233497 Chr6A_70551116 Chr5D_344821763 Chr7A_621014285
Sim_80 Chr4D_204293501 0.050228650821601 Chr5D_534828447 Chr2A_335760343 Chr6D_252404743 Chr4A_605550430 Chr6A_474827321 Chr4B_202054929 Chr1D_207145215 Chr3B_834295468 Chr1B_185645347 Chr5A_548283091 Chr2B_732924723 Chr7B_109593960 Chr1A_553955566 Chr3D_389390437 Chr6B_217944205 Chr2D_284049439 Chr5B_690481496 Chr3A_740603283 Chr7D_389903174 Chr7A_254003986
Sim_81 Chr2B_224901156 0.0521217413471945 Chr5B_644830817 Chr1D_345864083 Chr7D_629734117 Chr6B_126807004 Chr7A_91776375 Chr4D_219155322 Chr4B_85575696 Chr3A_610605872 Chr6D_435821667 Chr3B_723388135 Chr3D_227774035 Chr5A_688989843 Chr5D_556767883 Chr2D_52344544 Chr1B_248505300 Chr2A_56947309 Chr7B_522091632 Chr4A_529625141 Chr6A_266774263 Chr1A_451223321
Sim_82 Chr1B_508120257 0.0503489258345514 Chr5D_194314690 Chr4B_98307841 Chr3B_745042729 Chr3D_520995293 Chr2A_640194507 Chr5A_685658738 Chr4A_407524476 Chr5B_64085443 Chr1A_591750031 Chr7A_720821305 Chr2B_757042740 Chr6B_177573737 Chr3A_702667852 Chr4D_242846239 Chr2D_637781602 Chr6D_34729339 Chr7B_742572694 Chr7D_12819399 Chr1D_126146893 Chr6A_372876878
Sim_83 Chr4B_41925124 0.0477480726779309 Chr6D_164795040 Chr3D_481088538 Chr5B_352808509 Chr4A_687674462 Chr2B_774182082 Chr5D_242943693 Chr6A_250455551 Chr5A_472175306 Chr1B_456427578 Chr7D_263902248 Chr2D_558582523 Chr4D_59371202 Chr1D_181392811 Chr3A_21589523 Chr1A_584415368 Chr7B_602609481 Chr6B_52595596 Chr3B_116871140 Chr2A_574020249 Chr7A_575697387
Sim_84 Chr3A_691173352 0.0514603234716088 Chr6B_22636749 Chr5A_211907807 Chr1D_379020263 Chr6D_336600418 Chr1A_596782739 Chr7A_23441623 Chr3B_501802211 Chr2B_360929254 Chr4D_329265885 Chr5D_357729272 Chr2D_502350271 Chr4B_518787956 Chr3D_520995293 Chr5B_234617007 Chr1B_55503591 Chr2A_762190909 Chr4A_608776071 Chr7D_575431794 Chr7B_567806653 Chr6A_568342154
Sim_85 Chr1B_516715058 0.0513367008270031 Chr7D_248281769 Chr3B_29154816 Chr6A_551552487 Chr4B_138001702 Chr1A_10365503 Chr4D_208975508 Chr7A_695451323 Chr3A_542725476 Chr7B_95867686 Chr2B_562472451 Chr6B_33795346 Chr4A_133936907 Chr5B_76569283 Chr6D_403498589 Chr5D_357168778 Chr2A_767749461 Chr2D_433755103 Chr1D_10791024 Chr5A_534998369 Chr3D_468042902
Sim_86 Chr6D_344076351 0.0529119597859991 Chr2A_221502465 Chr1A_65380621 Chr6A_533935493 Chr3A_331048852 Chr4A_97633494 Chr7B_735497564 Chr3B_2243195 Chr6B_641339594 Chr4D_242846239 Chr2D_253827317 Chr2B_757042740 Chr1D_121489094 Chr1B_641387348 Chr3D_325479993 Chr7A_695569259 Chr5B_39528181 Chr5A_546627527 Chr5D_517283732 Chr7D_578329892 Chr4B_518787956
Sim_87 Chr3A_659353620 0.0496709828623762 Chr2D_491328322 Chr2B_27857230 Chr5D_250108031 Chr1D_354554801 Chr3B_366707695 Chr6B_589818885 Chr4A_423501348 Chr1A_592667541 Chr7D_604192550 Chr2A_580187652 Chr6A_583467909 Chr6D_224656670 Chr5B_545083652 Chr3D_296395200 Chr4B_586503726 Chr1B_244189425 Chr7B_718809146 Chr7A_94679451 Chr5A_685674026 Chr4D_505832194
Sim_88 Chr3D_561589713 0.0475500144240479 Chr4D_37031251 Chr7A_13492087 Chr5A_684818514 Chr3B_837490289 Chr5B_376488913 Chr7D_4677682 Chr4B_491421030 Chr2A_303801357 Chr2B_350888239 Chr4A_24026694 Chr1B_598661556 Chr7B_45845580 Chr1D_427891700 Chr6D_336600418 Chr2D_187334960 Chr1A_25107762 Chr5D_99920377 Chr6B_573849709 Chr6A_340573353 Chr3A_719398669
Sim_89 Chr4B_284223060 0.0488532302226794 Chr5B_26323927 Chr7D_626805861 Chr4A_326612444 Chr2B_221104754 Chr2A_517712135 Chr7B_732908686 Chr4D_184937359 Chr1A_546540394 Chr6B_82253620 Chr5A_665879731 Chr6A_313818358 Chr1B_374714938 Chr5D_8197041 Chr2D_367583175 Chr6D_240724895 Chr1D_454437991 Chr3B_381886610 Chr3D_128613815 Chr7A_576992214 Chr3A_276384224
Sim_90 Chr5A_32053120 0.0461209595258502 Chr6A_226468959 Chr6D_91835326 Chr6B_44893304 Chr3D_481088538 Chr1A_57373146 Chr2B_478182320 Chr5D_261873220 Chr2D_414092150 Chr3A_659475734 Chr5B_102081817 Chr7D_232510420 Chr3B_767303331 Chr4A_666676932 Chr1B_423666353 Chr7A_592458198 Chr7B_42905999 Chr1D_467759957 Chr4D_209757132 Chr4B_227965674 Chr2A_728995105
Sim_91 Chr6A_617755949 0.0485754614321831 Chr5B_64085443 Chr7A_21233811 Chr1B_18512999 Chr5D_190567785 Chr2B_118907584 Chr2D_234650560 Chr1A_24820717 Chr3B_29402592 Chr6D_411374544 Chr3D_263278843 Chr4D_430059738 Chr7B_698376563 Chr1D_370447342 Chr3A_750112137 Chr4A_616968072 Chr7D_371214493 Chr5A_689404135 Chr4B_25557422 Chr6B_128714089 Chr2A_760223463
Sim_92 Chr5A_575547794 0.0452872031366001 Chr4A_137265650 Chr3A_750112137 Chr1A_51703056 Chr1D_476466962 Chr5D_366089111 Chr4D_378568089 Chr3D_340310507 Chr7D_102704129 Chr1B_297251728 Chr6B_112775078 Chr6A_52676381 Chr5B_34766925 Chr6D_494852864 Chr7B_712418609 Chr4B_547560987 Chr7A_23297662 Chr2B_350888239 Chr2D_127249957 Chr2A_251371871 Chr3B_285087799
Sim_93 Chr5B_669718708 0.0460875530105836 Chr3B_26671704 Chr1B_47410071 Chr2B_712129168 Chr6B_242450334 Chr5A_450333756 Chr6D_476484169 Chr6A_596061700 Chr4A_751358643 Chr7A_621014285 Chr7B_720765015 Chr1A_34024207 Chr2D_17779590 Chr3A_546215079 Chr3D_226182692 Chr4D_30586729 Chr5D_502178293 Chr2A_203729669 Chr7D_630453036 Chr1D_16255340 Chr4B_242924957
Sim_94 Chr6D_477457554 0.0453253433211864 Chr6B_369526232 Chr2A_445950533 Chr7D_445693069 Chr1B_432323418 Chr4D_430059738 Chr2D_558582523 Chr7A_545262787 Chr1A_223148077 Chr3A_331048852 Chr4B_121962856 Chr4A_608776071 Chr2B_292126369 Chr5B_368607115 Chr7B_574359916 Chr3B_588420631 Chr3D_86161430 Chr1D_219497868 Chr5D_194314690 Chr5A_493581907 Chr6A_95749253
Sim_95 Chr4B_617186722 0.0503902135628747 Chr5A_260484982 Chr3D_98785934 Chr4D_470070965 Chr1B_42739366 Chr3A_523996907 Chr2A_28085680 Chr1D_480178189 Chr2B_757364750 Chr7D_4677682 Chr2D_570925262 Chr5D_90307644 Chr5B_25649314 Chr6B_202987468 Chr3B_141078491 Chr1A_324462829 Chr4A_751585898 Chr7B_712418609 Chr6D_252404743 Chr7A_729487596 Chr6A_42841422
Sim_96 Chr7A_545262787 0.0459607296029178 Chr7D_421476670 Chr6D_26908941 Chr3D_353571887 Chr7B_44342929 Chr2A_781711666 Chr1D_243122688 Chr4B_66664180 Chr6A_546943805 Chr5D_81068830 Chr5A_1465597 Chr6B_441945788 Chr3B_58348251 Chr2B_725471432 Chr4A_662772736 Chr1A_467504935 Chr3A_570993038 Chr5B_544753776 Chr1B_437655765 Chr2D_637781602 Chr4D_59371202
Sim_97 Chr4B_285456056 0.0454277815359221 Chr3A_452622430 Chr7B_278292455 Chr6A_523656575 Chr5B_33624097 Chr3B_604997222 Chr4D_470070965 Chr4A_357985678 Chr2A_581437181 Chr7A_72844645 Chr3D_402981142 Chr5D_517190062 Chr1B_590263291 Chr6D_2279771 Chr1D_420161180 Chr7D_600932205 Chr2B_796963259 Chr1A_502972223 Chr2D_79978081 Chr6B_276004878 Chr5A_13644774
Sim_98 Chr4D_248484430 0.049655728892428 Chr2B_396386 Chr7A_339312533 Chr2D_159887828 Chr3D_340310507 Chr7D_149546340 Chr5B_600880893 Chr4B_595470883 Chr6A_589033103 Chr1B_471897388 Chr3A_25624546 Chr4A_197847470 Chr1A_537154761 Chr6B_275342592 Chr5D_101638555 Chr1D_181392811 Chr3B_58119154 Chr7B_738882461 Chr5A_391457185 Chr6D_397669341 Chr2A_237981908
Sim_99 Chr4B_489834439 0.049226673528662 Chr2D_535192464 Chr3A_270996809 Chr7D_363803262 Chr2A_192672440 Chr6A_585044878 Chr4A_655199250 Chr1D_354554801 Chr6D_417421915 Chr5D_443157918 Chr3D_456701724 Chr7A_693069066 Chr3B_434055540 Chr6B_632980931 Chr4D_75056090 Chr2B_783199305 Chr1B_144494452 Chr5B_447500707 Chr1A_51703056 Chr5A_1604819 Chr7B_443398580
Sim_100 Chr3A_385630832 0.0457726942790091 Chr3B_831999532 Chr1D_459001923 Chr7A_613054287 Chr2D_35047168 Chr7D_548205485 Chr4A_699507779 Chr5B_13398026 Chr3D_245675958 Chr5D_136248728 Chr1B_392494673 Chr7B_692680615 Chr4D_237762397 Chr6A_612831289 Chr2B_637179855 Chr1A_503370263 Chr4B_193547559 Chr6D_279888830 Chr2A_519764731 Chr5A_596796612 Chr6B_36551794
