hQTL Vg_hQTL epQTL_1 epQTL_2 epQTL_3 epQTL_4 epQTL_5 epQTL_6 epQTL_7 epQTL_8 epQTL_9 epQTL_10 epQTL_11 epQTL_12 epQTL_13 epQTL_14 epQTL_15 epQTL_16 epQTL_17 epQTL_18 epQTL_19
Sim_64 Chr1A_431701574 0.0468756683378972 Chr4B_391418918 Chr4D_52181987 Chr6A_42967271 Chr6B_391373713 Chr1D_471709510 Chr6D_390523547 Chr5A_455499011 Chr2B_576582613 Chr5B_465152650 Chr2A_716765884 Chr2D_645502131 Chr3D_452938313 Chr3B_650559777 Chr4A_525104873 Chr7A_380886362 Chr5D_8197041 Chr1B_201813282 Chr3A_439319909 Chr7B_733415694
Sim_65 Chr4A_133936907 0.0488131019048262 Chr3D_26071867 Chr3A_178937267 Chr1B_486179108 Chr6A_153680687 Chr7D_447539404 Chr2A_247477112 Chr2D_303828195 Chr4B_11769709 Chr7A_695229939 Chr6D_397669341 Chr5D_191080338 Chr5B_197265646 Chr3B_329559220 Chr4D_31002469 Chr6B_650735557 Chr7B_742572694 Chr1A_276774355 Chr2B_395973821 Chr1D_156012789
Sim_66 Chr2A_356943030 0.0509942234694686 Chr4B_96360490 Chr3B_515447240 Chr5B_600880893 Chr3A_733671372 Chr1B_262038102 Chr6B_217944205 Chr6A_467092674 Chr1A_546694266 Chr6D_150747488 Chr2D_107413973 Chr1D_418922900 Chr4D_370809620 Chr3D_325479993 Chr4A_666676932 Chr7A_101626267 Chr5D_288498335 Chr5A_566637842 Chr2B_800132885 Chr7D_102704129
Sim_67 Chr4B_312663668 0.0544595370605123 Chr7D_455486581 Chr3B_407520674 Chr2A_252618790 Chr4A_751885827 Chr5A_35169228 Chr1B_417585409 Chr2B_565669193 Chr3A_616358576 Chr4D_109503045 Chr1A_23709972 Chr2D_367583175 Chr7B_76790562 Chr6B_498558737 Chr3D_508080233 Chr6A_434773359 Chr7A_291304967 Chr6D_342812657 Chr5D_112366538 Chr5B_332339346
Sim_68 Chr5A_632457360 0.0519860300697473 Chr1B_567975454 Chr4D_184937359 Chr2B_439322104 Chr5D_43152206 Chr7B_353167347 Chr2D_519748508 Chr4A_616940478 Chr5B_352808509 Chr3D_597341976 Chr3A_727222858 Chr7A_380886362 Chr6B_199496100 Chr1A_136162006 Chr6D_426108673 Chr2A_334544272 Chr1D_274747242 Chr4B_342980491 Chr3B_142806938 Chr7D_47426698
Sim_69 Chr1B_495912698 0.0466672996800468 Chr7D_77178951 Chr2A_761710325 Chr2D_610878805 Chr3A_292534839 Chr3D_257334849 Chr5B_634564037 Chr4B_193547559 Chr1D_496161107 Chr7B_755569638 Chr4A_143037950 Chr1A_31812830 Chr4D_282317278 Chr6D_484914394 Chr7A_94679451 Chr6B_668846465 Chr3B_708241885 Chr5D_540617469 Chr6A_271729515 Chr2B_800704059
Sim_70 Chr3A_22992893 0.0494443085805541 Chr6A_47453658 Chr7A_22972414 Chr4D_298638838 Chr5A_35169228 Chr7D_99855398 Chr2B_808879178 Chr1A_513384815 Chr1B_330187900 Chr7B_755569638 Chr2D_35047168 Chr1D_438473613 Chr5D_81068830 Chr3D_375304437 Chr6D_26908941 Chr4A_294585820 Chr4B_581258909 Chr2A_517712135 Chr3B_433824164 Chr6B_101541778
Sim_71 Chr3D_61581853 0.0479598996884945 Chr1A_51703056 Chr2D_400826241 Chr6D_102599903 Chr6A_572446345 Chr5D_477466577 Chr5A_546274864 Chr1B_444798448 Chr2A_132220408 Chr4B_558156972 Chr4A_639977945 Chr7B_720765015 Chr7D_27049526 Chr5B_622868561 Chr3A_10219647 Chr2B_234239547 Chr6B_115692467 Chr3B_667094035 Chr7A_191380847 Chr1D_313735884
Sim_72 Chr3A_445205466 0.053813562069436 Chr5D_182385529 Chr2B_455668029 Chr7A_165990229 Chr6B_526946741 Chr5A_310977537 Chr7B_642862779 Chr4A_655199250 Chr1D_269278977 Chr1B_495912698 Chr3D_582475042 Chr5B_334531652 Chr2A_519764731 Chr6D_252404743 Chr7D_447539404 Chr4D_135391365 Chr2D_30884237 Chr1A_23365308 Chr6A_19788813 Chr4B_63813054
Sim_73 Chr4B_150743146 0.0512416137390049 Chr2D_124487859 Chr4D_77753820 Chr3D_504658214 Chr5D_11189454 Chr3B_591262390 Chr6A_507192079 Chr7B_688751113 Chr7D_451953164 Chr6B_82253620 Chr5A_329885401 Chr6D_477457554 Chr2A_305690414 Chr4A_664143932 Chr7A_732888426 Chr5B_635166260 Chr2B_196185881 Chr1B_639216005 Chr1A_485207427 Chr3A_444008128
Sim_74 Chr1B_151720060 0.0488071379909281 Chr6B_526946741 Chr2A_761710325 Chr2B_576980485 Chr1D_252950321 Chr3D_538755311 Chr7A_70781274 Chr4A_719720243 Chr2D_361804954 Chr3A_25624546 Chr7D_421476670 Chr7B_644503380 Chr4B_1762038 Chr1A_587597017 Chr6A_613928283 Chr5B_669389118 Chr3B_492969113 Chr4D_27823496 Chr5D_558031770 Chr5A_210949973
Sim_75 Chr5A_177238799 0.0483988486338338 Chr2B_238859203 Chr2D_371259498 Chr2A_524538495 Chr7B_632732985 Chr1B_44681223 Chr1D_298736848 Chr6D_494852864 Chr3B_131162360 Chr4B_257710985 Chr7D_100909716 Chr5D_382648577 Chr4D_511002246 Chr3D_402981142 Chr5B_454004734 Chr6A_621644371 Chr3A_656045220 Chr6B_213819821 Chr4A_148412332 Chr1A_484909576
Sim_76 Chr7A_673112330 0.0536771820716856 Chr2B_14879251 Chr5D_502178293 Chr6D_403498589 Chr6B_531071470 Chr7B_712738101 Chr4A_666353036 Chr7D_182096108 Chr2A_538791576 Chr3D_336696445 Chr3B_204295461 Chr4B_223568687 Chr5B_658622493 Chr5A_472275920 Chr4D_291220890 Chr1D_32350247 Chr1A_223148077 Chr3A_75049007 Chr1B_576135840 Chr2D_361804954
Sim_77 Chr7A_680337591 0.0516112706187743 Chr3B_141078491 Chr1A_489810872 Chr3D_492522296 Chr4A_513613313 Chr5D_448706062 Chr4D_135391365 Chr2B_800293928 Chr2D_462736949 Chr5A_306973325 Chr6A_387429810 Chr6D_341889830 Chr7D_204684645 Chr2A_762691806 Chr1B_302685282 Chr4B_530061251 Chr1D_493390668 Chr5B_412857590 Chr6B_167451135 Chr7B_469056282
Sim_78 Chr4A_680544931 0.0512435193144162 Chr1B_660554575 Chr4B_69397783 Chr2D_217808917 Chr7B_741482944 Chr2B_609055854 Chr3A_22992893 Chr5D_282842347 Chr1A_29709508 Chr3B_713838792 Chr5A_7361118 Chr5B_245316610 Chr3D_81788845 Chr7A_732888426 Chr2A_357832083 Chr1D_471709510 Chr7D_604192550 Chr6B_173854261 Chr6A_133896354 Chr6D_43316592
Sim_79 Chr4D_219155322 0.0488779658173906 Chr1D_49435925 Chr4B_283594667 Chr4A_636115629 Chr1B_614518123 Chr5A_593201443 Chr6B_705053000 Chr3B_593199330 Chr7D_604192550 Chr7B_734417231 Chr5B_329617445 Chr2D_323023213 Chr3A_397164331 Chr3D_61581853 Chr7A_8768545 Chr2B_609055854 Chr1A_11013277 Chr5D_541462522 Chr2A_107037740 Chr6A_329564139
Sim_80 Chr1B_468482676 0.0529152677031442 Chr2B_113463830 Chr5A_286798139 Chr2D_253827317 Chr4A_680544931 Chr2A_386829046 Chr3B_422835581 Chr1A_545444651 Chr3D_402981142 Chr3A_624541054 Chr5B_209766032 Chr6D_473120178 Chr7B_602609481 Chr6A_533935493 Chr1D_14229636 Chr4B_5882925 Chr6B_101541778 Chr7D_548205485 Chr4D_470070965 Chr7A_17717407
Sim_81 Chr5A_93965640 0.0496038146194263 Chr1A_546694266 Chr3A_10219647 Chr1D_431385533 Chr4D_478244065 Chr4A_9648314 Chr2B_123943716 Chr6D_376699463 Chr3B_276404137 Chr5B_320747923 Chr6B_682740478 Chr5D_525664637 Chr2A_299413603 Chr7A_350571611 Chr4B_119242844 Chr3D_97156247 Chr7D_561781558 Chr7B_633748790 Chr2D_227537904 Chr1B_243411788
Sim_82 Chr7A_592638830 0.0470862431657215 Chr6D_473120178 Chr4B_292546612 Chr5B_672776654 Chr5D_11189454 Chr6A_2938291 Chr1A_502972223 Chr5A_593201443 Chr4A_616940478 Chr2A_762691806 Chr1B_576187429 Chr4D_282317278 Chr3B_737855091 Chr2B_26779183 Chr1D_383259120 Chr3A_691173352 Chr7D_319447934 Chr6B_154861311 Chr7B_742495464 Chr2D_270547333
Sim_83 Chr7D_77178951 0.0488185473649985 Chr4D_405484964 Chr5D_250108031 Chr7B_608645074 Chr3A_154589237 Chr2B_504950290 Chr1D_283650165 Chr5A_5904606 Chr6B_576452577 Chr2D_433755103 Chr2A_247477112 Chr6A_240145748 Chr7A_636629674 Chr4B_653660261 Chr3D_462506879 Chr1A_276774355 Chr4A_544390717 Chr5B_416298956 Chr1B_582410996 Chr3B_85495347
Sim_84 Chr2D_364026967 0.0530594007644031 Chr6B_144750102 Chr3B_328769691 Chr4B_66125104 Chr1A_588283041 Chr7A_616210107 Chr5B_127055304 Chr7D_182096108 Chr5A_292676512 Chr7B_602609481 Chr2A_761877894 Chr4D_322918457 Chr4A_513613313 Chr6D_464187092 Chr1B_47410071 Chr1D_243122688 Chr3D_53139934 Chr3A_617488229 Chr5D_542571830 Chr6A_605995129
Sim_85 Chr7B_463674663 0.0485308733624076 Chr4B_428275493 Chr3A_274713605 Chr2D_622411082 Chr4A_97633494 Chr7D_637277387 Chr3D_553641672 Chr1A_399724568 Chr2B_23653373 Chr7A_739631165 Chr5B_704486143 Chr2A_712771573 Chr3B_157463351 Chr6A_523656575 Chr1B_186391186 Chr4D_282317278 Chr5A_382252943 Chr6B_608973767 Chr5D_255197627 Chr6D_29155456
Sim_86 Chr3B_709618731 0.0548500308403595 Chr1B_11932518 Chr4B_489834439 Chr2D_440523665 Chr4D_94758034 Chr1A_32586411 Chr6B_477810854 Chr1D_252950321 Chr5B_695545546 Chr7B_47466283 Chr5D_43152206 Chr2B_2767166 Chr4A_197847470 Chr7D_415530355 Chr5A_141073582 Chr2A_164379790 Chr7A_364452293 Chr3A_114167110 Chr6A_372876878 Chr6D_432128665
Sim_87 Chr1A_29541788 0.0539470942701866 Chr5B_533060006 Chr1D_156012789 Chr3B_560093552 Chr6D_80752977 Chr2D_433755103 Chr4B_627887856 Chr1B_394918251 Chr7A_20478337 Chr5A_286798139 Chr4D_441480777 Chr3A_654927425 Chr7D_579772212 Chr2A_753703286 Chr6B_496767196 Chr7B_726041841 Chr2B_147992950 Chr4A_729585526 Chr6A_360460151 Chr3D_42958298
Sim_88 Chr6B_708721903 0.0497207600096972 Chr3D_368576794 Chr3B_708822264 Chr1B_576135840 Chr2A_633861543 Chr6D_60955304 Chr7A_400011801 Chr6A_23811272 Chr7B_755329678 Chr1A_58444319 Chr4D_405484964 Chr5D_419394249 Chr2D_407990572 Chr4A_513613313 Chr7D_321654609 Chr5B_243196426 Chr2B_501902390 Chr1D_345864083 Chr5A_534998369 Chr3A_311182604
Sim_89 Chr7A_664503844 0.0465232939228269 Chr4D_466450793 Chr2A_694812807 Chr7D_110080544 Chr5D_568529738 Chr2D_371259498 Chr1D_121489094 Chr6A_91195445 Chr4B_18812363 Chr2B_803058836 Chr3A_452622430 Chr3D_116149598 Chr1B_570343032 Chr5A_442524021 Chr1A_81969580 Chr4A_137265650 Chr3B_600925285 Chr5B_659632977 Chr6D_17117170 Chr7B_109593960
Sim_90 Chr6A_58595886 0.0506125323327399 Chr5B_34766925 Chr7A_588126984 Chr2D_311130707 Chr5D_403533172 Chr1B_500766118 Chr4B_565576238 Chr5A_444717017 Chr6B_81121634 Chr1A_578107460 Chr4A_718559455 Chr1D_121489094 Chr6D_252404743 Chr2B_547624571 Chr3B_130311672 Chr2A_627491004 Chr3D_168936688 Chr7B_700798062 Chr3A_696696345 Chr4D_405484964
Sim_91 Chr5D_423104481 0.0490517304224409 Chr2D_227537904 Chr4B_517248904 Chr6A_56586420 Chr1D_126146893 Chr6D_93279747 Chr4D_219155322 Chr3A_735381157 Chr7A_16052403 Chr3D_15839791 Chr6B_399216974 Chr1B_243411788 Chr2B_725406059 Chr7D_243122585 Chr7B_695824518 Chr5A_53242290 Chr2A_738699319 Chr5B_127055304 Chr3B_46003831 Chr1A_243942436
Sim_92 Chr1B_536072637 0.0546596502227605 Chr4D_185489084 Chr1A_544839138 Chr2B_316904440 Chr5B_134964111 Chr2A_378564441 Chr7B_733600127 Chr1D_466670986 Chr5D_372823238 Chr6B_171384087 Chr4B_14608535 Chr3A_443237155 Chr4A_666353036 Chr2D_640556175 Chr6A_350083173 Chr6D_279888830 Chr3B_505735217 Chr5A_555982201 Chr7D_35698879 Chr3D_390993299
Sim_93 Chr3B_363993995 0.0462977623363757 Chr6D_80752977 Chr2A_767749461 Chr3D_504797761 Chr7D_242620113 Chr2D_432084888 Chr1A_28020341 Chr4A_680517255 Chr5B_667372522 Chr7B_687679110 Chr5D_112366538 Chr6B_708721903 Chr1B_436475879 Chr1D_489729899 Chr4D_30428033 Chr2B_146433069 Chr7A_497669684 Chr5A_566662867 Chr4B_606123705 Chr6A_56586420
Sim_94 Chr3D_520995293 0.0523349614742023 Chr5B_533865168 Chr4D_51145714 Chr6D_26908941 Chr2B_796963259 Chr2D_148315915 Chr4A_197847470 Chr7B_26226977 Chr5A_191098184 Chr2A_52337208 Chr4B_161692616 Chr6A_103924908 Chr3B_287123573 Chr3A_636037450 Chr5D_182385529 Chr7D_375314393 Chr1A_34024207 Chr1D_489600697 Chr7A_178820717 Chr1B_186391186
Sim_95 Chr2B_416696328 0.0511425397333112 Chr5D_108956570 Chr6B_395982275 Chr3A_679351635 Chr5A_139869001 Chr1B_48677620 Chr7B_25708783 Chr5B_465152650 Chr7D_428158425 Chr6D_91835326 Chr7A_344242503 Chr6A_15460878 Chr3B_488823947 Chr2A_198779770 Chr1A_136162006 Chr1D_420282987 Chr4B_227965674 Chr4A_513613313 Chr3D_92971074 Chr4D_109503045
Sim_96 Chr5A_534998369 0.0459582360310546 Chr7B_311886925 Chr4A_258212389 Chr3B_601638368 Chr5D_344821763 Chr4D_61425671 Chr2A_237586329 Chr7D_238338323 Chr1D_467759957 Chr6A_80450557 Chr1B_279812071 Chr6B_699879246 Chr3A_741045862 Chr1A_29871723 Chr5B_10626035 Chr7A_717303475 Chr2B_80822036 Chr2D_221004646 Chr4B_158119783 Chr3D_296395200
Sim_97 Chr7B_7553094 0.0529803262817462 Chr4D_242846239 Chr2A_776369440 Chr1B_9744213 Chr3D_553641672 Chr4B_594678704 Chr4A_143037950 Chr7A_575697387 Chr1D_417749532 Chr2B_418016 Chr6A_133896354 Chr3A_15999991 Chr5B_403431754 Chr3B_281790298 Chr1A_508243907 Chr5D_540617469 Chr6D_93279747 Chr6B_25934581 Chr5A_472830386 Chr2D_79978081
Sim_98 Chr2A_39377144 0.0492630525382026 Chr4B_597713071 Chr7A_20478337 Chr3A_680506556 Chr5B_692931663 Chr3B_481494960 Chr5D_136248728 Chr6A_554853686 Chr7B_731149711 Chr1B_486254493 Chr1A_399724568 Chr6D_494852864 Chr1D_169199274 Chr3D_444226996 Chr2B_115623213 Chr4D_256431520 Chr4A_197209342 Chr7D_134691853 Chr2D_284049439 Chr6B_446260465
Sim_99 Chr7A_16402287 0.0460718741012494 Chr2D_128347687 Chr4A_666340643 Chr3D_42585215 Chr3B_732205594 Chr2B_746191576 Chr7D_604544018 Chr6B_654362275 Chr3A_295539576 Chr5D_182385529 Chr1B_582410996 Chr2A_192672440 Chr1D_120874487 Chr7B_206048905 Chr4D_370809620 Chr6A_496821784 Chr1A_30655578 Chr5A_700812787 Chr4B_301115614 Chr5B_679760394
Sim_100 Chr3B_141078491 0.0474583626842846 Chr7D_460902678 Chr1A_515093771 Chr3A_659353620 Chr2A_766539441 Chr7B_632732985 Chr4A_294585820 Chr3D_20181680 Chr7A_6891641 Chr6A_13563049 Chr6B_716906457 Chr4B_558156972 Chr4D_248484430 Chr5A_688989843 Chr1D_16964814 Chr1B_14835875 Chr6D_463254018 Chr2D_234650560 Chr5B_624778145 Chr2B_798040247
